"Timestamp","Did you have any experiments in your paper? If no, you are already done with the survey, thank you and have a good day. :)","Did you optimize your hyperparameters?","If yes, how did you tune them?","How many hyperparameters did you optimize?","How many trials/experiments in total during the optimization? (How many different set of hyperparameters were evaluated)","Did you optimize the hyperparameters of your baselines? (The other models or algorithms you compared with)","How many baselines (models, algos) did you compare with? (If different across datasets, please report maximum number, not total)","How many datasets or tasks did you compare on?","How many results did you report for each model (ex: for different seeds).","If you answered 1 to previous question, did you use the same seed in all your experiments? (If you did not seed your experiments, you should answer 'no' to this question.)"
"2019/12/23 6:35:31 PM EST","Yes","No","Manual Tuning","2","1-50","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:38:03 PM EST","Yes","Yes","Grid Search","2","1-50","Not applicable","5-10","3-5","1","Yes, all on the same seed"
"2019/12/23 6:38:11 PM EST","Yes","Yes","Random Search","More than 5","50-100","No","1","3-5","3-5",""
"2019/12/23 6:38:47 PM EST","Yes","Yes","Other","More than 5","1-50","No","More than 10","3-5","More than 10",""
"2019/12/23 6:38:52 PM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:38:55 PM EST","Yes","Yes","Manual Tuning","2","1-50","No","2","3-5","3-5","N/A"
"2019/12/23 6:39:19 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","1","Yes, all on the same seed"
"2019/12/23 6:39:19 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:39:47 PM EST","Yes","Yes","Random Search","2","1-50","Yes","More than 10","2","3-5",""
"2019/12/23 6:39:59 PM EST","Yes","Yes","Grid Search","3-5","200-500","Yes","2","5-10","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:40:34 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","2","5-10","N/A"
"2019/12/23 6:40:44 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","200-500","Yes","3-5","3-5","3-5","N/A"
"2019/12/23 6:41:13 PM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","3-5","5-10","3-5","N/A"
"2019/12/23 6:41:45 PM EST","No","","","","","","","","",""
"2019/12/23 6:41:53 PM EST","Yes","Yes","Manual Tuning;Grid Search","2","100-200","","5-10","3-5","3-5","N/A"
"2019/12/23 6:41:58 PM EST","Yes","Yes","Grid Search","3-5","100-200","Yes","3-5","5-10","1","Yes, all on the same seed"
"2019/12/23 6:42:00 PM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","3-5","More than 10","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:42:05 PM EST","Yes","Yes","Grid Search","1","1-50","No","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/23 6:42:09 PM EST","Yes","Yes","Manual Tuning;Grid Search","2","50-100","Yes","3-5","1","3-5",""
"2019/12/23 6:42:12 PM EST","Yes","Yes","Manual Tuning","1","1-50","Not applicable","","2","3-5","N/A"
"2019/12/23 6:42:57 PM EST","Yes","Yes","Grid Search","More than 5","More than 500","Yes","5-10","3-5","5-10","N/A"
"2019/12/23 6:43:37 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","2","3-5","3-5","N/A"
"2019/12/23 6:43:50 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","2","More than 10","3-5",""
"2019/12/23 6:44:19 PM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","1","1","1","N/A"
"2019/12/23 6:46:17 PM EST","Yes","Yes","Other","More than 5","200-500","No","More than 10","3-5","More than 10",""
"2019/12/23 6:47:40 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","3-5","2","N/A"
"2019/12/23 6:47:46 PM EST","Yes","No","","","1-50","No","3-5","2","3-5",""
"2019/12/23 6:48:30 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","Yes","2","3-5","3-5","N/A"
"2019/12/23 6:49:20 PM EST","Yes","Yes","Other","More than 5","More than 500","Yes","2","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:49:32 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","3-5","3-5","N/A"
